ID,Country,Region,DataYear,ClassGrade,Gender,Ageyears,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Favorite_Season,Allergies,Vegetarian,Favorite_School_Subject,Sleep_Hours_Schoolnight,Home_Occupants,Home_Internet_Access,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
255,USA,NC,2014,9,Female,15,1,Bus,20,9.263,90,Swimming,0,10000,10000,20,Same length,55,55,Ring finger,Summer,Yes,No,Music,6,9,No internet connection,4,4,0,1,1,0,2,0,1,A lot,Some college,Rap/Hip hop,Invisibility,Happy,Musician or singer,"Arts, culture, sports"
256,USA,NC,2021,12,Female,17,2,Bus,60,.416,47,Soccer,1000,1000,1000,22,Same length,55,55,Ring finger,Summer,Yes,No,Other,7,7,Yes - broadband connection,100,112,0,4,24,2,6,48,8,Some,Some college,Rhythm and blues (R&B),Fly,Happy,Musician or singer,"Wildlife, animals"
257,USA,NC,2019,11,Male,16,2,Car,10,.387,37,Other,840,400,500,25,Same length,76,73,Index finger,Summer,No,No,Computers and technology,7,3,Yes - broadband connection,10,6,10,7,3,16,5,7,4,Some,Undergraduate degree,Other,Freeze time,Happy,Relative,International aid
258,USA,NC,2017,10,Male,15,2,Car,18,.317,31,Running/Jogging,305,310,385,25,Same length,60,70,Ring finger,Winter,Yes,No,Mathematics and statistics,7,4,Yes - broadband connection,2,1,8,0,0,4,2,5,2,A lot,Less than high school,Techno/Electronic,Fly,Rich,Religious figure,International aid
259,USA,NC,2015,12,Female,15,2,Bus,60,.402,38,None,1000,900,1000,22,Right foot,55,55,Same length,Fall,No,No,Music,5,3,Yes - broadband connection,50,75,0,25,7,14,0,0,7,A lot,Other,Punk rock,Telepathy,Famous,Musician or singer,"Arts, culture, sports"
260,USA,NC,2013,9,Male,14,2,Bus,30,2,26,Soccer,800,700,600,28,Right foot,100,110,Ring finger,Summer,No,No,Physical education,9,5,Yes - other,7,8,14,7,7,0,21,0,7,Very little,Some college,Rap/Hip hop,Freeze time,Rich,Relative,Other
261,USA,NC,2016,12,Female,16,1,Car,7,.781,59,None,400,400,400,22.75,Right foot,79,83,Ring finger,Summer,No,No,History,6.5,5,Yes - broadband connection,500,500,3,28,49,49,7,20,10,A lot,Graduate degree,Pop,Invisibility,Rich,Friend,Health
262,USA,NC,2021,11,Male,17,1,Car,12,.73,44,Swimming,900,800,700,28,Same length,80,80,Same length,Fall,No,No,Physical education,5,6,Yes - broadband connection,20,20,10,0,17,19,1,24,5,Some,Graduate degree,Country,Super strength,Happy,Musician or singer,Health
263,USA,NC,2022,12,Female,16,3,Bus,15,.977,47,Swimming,973,866,856,22,Same length,69,66,Index finger,Summer,Yes,No,Science,6,4,Yes - broadband connection,23,196,2,8,2,10,8,0,2,Some,Graduate degree,Pop,Freeze time,Famous,Politician,International aid
264,USA,NC,2018,10,Male,15,7,Car,10,.412,41,Basketball,784,1000,578,26,Same length,80,85,Ring finger,Summer,Yes,No,Physical education,6,4,Yes - broadband connection,75,125,2,2,2,7,5,0,3,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Health
265,USA,NC,2017,11,Female,15,2,Car,23,.305,32,Swimming,750,700,800,25,Right foot,80,85,Ring finger,Summer,No,Yes,English,7,4,Yes - broadband connection,3,8,12,5,1,50,10,0,10,Some,Graduate degree,Pop,Freeze time,Happy,Relative,"Wildlife, animals"
301,USA,NC,2022,11,Female,16,1,Bus,4,.364,41,Other,561,658,193,28,Same length,70,70,Same length,Summer,No,No,Other,7,5,Yes - other,8,8,0,4,2,2,8,2,4,Very little,Some college,Pop,Fly,Happy,Relative,Religious
305,USA,NC,2015,12,Female,49,1,Car,15,4.3,28,Walking/Hiking,1000,800,900,32,Same length,60,64,Ring finger,Summer,Yes,No,English,6,4,Yes - broadband connection,4,6,0,3,1,4,4,40,8,A lot,Other,Country,Freeze time,Healthy,Relative,Health
307,USA,NC,2021,11,Male,17,2,Car,10,.235,34,Running/Jogging,650,500,400,26.5,Left foot,35,37,Ring finger,Fall,Yes,No,Science,8,4,Yes - broadband connection,1,4,14,0,4,24,6,6,4,Some,Undergraduate degree,Other,Freeze time,Happy,Other,Environment
309,USA,NC,2020,12,Male,16,1,Bus,10,.37,70,Athletics,1000,1000,599,30,Same length,64,51,Index finger,Spring,Yes,Yes,History,8,4,Yes - broadband connection,25,31,0,1,2,0,4,8,1,Some,Undergraduate degree,Rhythm and blues (R&B),Telepathy,Famous,Relative,Education/Youth development
314,USA,NC,2014,12,Male,17,2,Car,20,.444,48,Other,750,250,100,23,Right foot,120,100,Index finger,Winter,Yes,No,Social studies,7,2,Yes - broadband connection,50,50,20,35,14,60,8,10,1,Some,Graduate degree,Classical,Telepathy,Happy,Musician or singer,"Arts, culture, sports"
316,USA,NC,2020,12,Male,18,1,Bus,30,.364,41,Other,400,500,500,28,Same length,76.2,66.04,Index finger,Spring,No,No,Other,6,5,Yes - broadband connection,5,4,18,5,0,24,10,0,1,Some,High school,Other,Freeze time,Happy,Other,Other
319,USA,NC,2021,12,Female,18,2,Bus,15,.79,45,Tennis,1000,1000,1000,38.2,Same length,55,15.2,Same length,Fall,No,No,History,7,8,Yes - other,20,40,3,168,54,168,24,40,2,A lot,Graduate degree,Other,Telepathy,Rich,Teacher,International aid
320,USA,NC,2016,11,Female,16,4,Car,15,.443,36,Walking/Hiking,0,500,500,24,Right foot,92,92,Same length,Spring,No,Yes,Mathematics and statistics,6,6,Yes - other,200,500,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Doctor or nurse,Health
323,USA,NC,2021,11,Male,17,1,Car,25,.334,45,Football (American),1000,898,850,33.02,Same length,71.12,76.2,Ring finger,Fall,Yes,No,Science,6,2,Yes - broadband connection,15,50,0,1,2,10,3,0,0,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,"Wildlife, animals"
325,USA,NC,2021,11,Male,17,2,Bus,15,.471,56,Tennis,600,500,600,29,Right foot,95,105,Ring finger,Summer,No,Yes,Mathematics and statistics,7,4,Yes - broadband connection,120,1400,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Education/Youth development
328,USA,NC,2020,11,Male,18,1,Car,10,.304,46,Athletics,1000,765,797,26,Left foot,97,105,Ring finger,Fall,No,No,Science,7,6,Yes - broadband connection,18,20,10,10,5,5,2,0,2,Very little,Undergraduate degree,Other,Freeze time,Healthy,Relative,Environment
332,USA,NC,2021,11,Female,16,2,Bus,15,.447,48,Skateboarding/Rollerblading,679,626,765,22,Same length,70,70,Same length,Fall,No,No,Science,7.5,6,Yes - broadband connection,20,25,1,5,2,12,3,0,2,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Other,Environment
336,USA,NC,2022,12,Male,16,2,Car,8,.302,61,Martial Arts,400,400,300,29,Same length,83,89,Ring finger,Summer,No,No,Physical education,5,4,Yes - broadband connection,100,700,5,35,14,42,0,0,7,Some,Undergraduate degree,Rap/Hip hop,Invisibility,Rich,Actor,Health
338,USA,NC,2019,11,Male,17,1,Car,7,.432,38,Golf,100,100,500,23,Same length,75,85,Ring finger,Summer,No,No,Physical education,6,5,Yes - broadband connection,10,25,4,4,2,12,5,3,2,Some,Graduate degree,Pop,Telepathy,Rich,Friend,Health
352,USA,NC,2018,12,Female,17,2,Car,7,.356,37,Bowling,800,800,600,24,Same length,70,75,Ring finger,Winter,No,No,Science,4,3,Yes - other,35,39,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Health
353,USA,NC,2012,12,Female,17,1,Walk,12,.468,31,Basketball,700,550,650,24,Same length,79,81,Ring finger,Spring,Yes,No,Mathematics and statistics,7,6,Yes - broadband connection,10,15,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Fly,Happy,Religious figure,Religious
358,USA,NC,2017,10,Male,15,2,Car,18,.317,31,Running/Jogging,305,310,385,25,Same length,60,70,Ring finger,Winter,Yes,No,Mathematics and statistics,7,4,Yes - broadband connection,2,1,8,0,0,4,2,5,2,A lot,Less than high school,Techno/Electronic,Fly,Rich,Religious figure,International aid
361,USA,NC,2016,12,Female,16,1,Car,7,.781,59,None,400,400,400,22.75,Right foot,79,83,Ring finger,Summer,No,No,History,6.5,5,Yes - broadband connection,500,500,3,28,49,49,7,20,10,A lot,Graduate degree,Pop,Invisibility,Rich,Friend,Health
401,USA,NC,2022,11,Female,16,1,Bus,4,.364,41,Other,561,658,193,28,Same length,70,70,Same length,Summer,No,No,Other,7,5,Yes - other,8,8,0,4,2,2,8,2,4,Very little,Some college,Pop,Fly,Happy,Relative,Religious
404,USA,NC,2016,9,Male,14,1,Car,30,.429,38,Martial Arts,604,396,198,27,Same length,80,80,Same length,Summer,Yes,No,Physical education,8,2,Yes - broadband connection,3,6,10,0,0,13,8,0,19,Some,Undergraduate degree,Rock and roll,Telepathy,Healthy,Musician or singer,Health
405,USA,NC,2015,12,Female,49,1,Car,15,4.3,28,Walking/Hiking,1000,800,900,32,Same length,60,64,Ring finger,Summer,Yes,No,English,6,4,Yes - broadband connection,4,6,0,3,1,4,4,40,8,A lot,Other,Country,Freeze time,Healthy,Relative,Health
410,USA,NC,2022,12,Male,17,2,Car,30,.288,51,Basketball,1000,1000,800,30,Same length,53,55,Ring finger,Spring,No,No,Art,9,4,Yes - broadband connection,2,6,2,1,1,1,0,7,2,Very little,High school,Rap/Hip hop,Freeze time,Healthy,Other,International aid
411,USA,NC,2013,11,Female,17,1,Car,15,.274,37,Basketball,316,358,503,23,Same length,74,75,Ring finger,Summer,Yes,No,Physical education,7,4,Yes - broadband connection,223,220,0,9,35,9,9,0,2,Very little,Graduate degree,Rap/Hip hop,Invisibility,Happy,Sports person,Religious
412,USA,NC,2017,12,Male,17,1,Car,15,.416,42,Dancing,900,950,850,27,Same length,90,80,Index finger,Winter,Yes,No,Science,6,4,Yes - broadband connection,10,30,0,1,4,3,3,5,3,A lot,Undergraduate degree,Other,Telepathy,Happy,Relative,Environment
414,USA,NC,2014,12,Male,17,2,Car,20,.444,48,Other,750,250,100,23,Right foot,120,100,Index finger,Winter,Yes,No,Social studies,7,2,Yes - broadband connection,50,50,20,35,14,60,8,10,1,Some,Graduate degree,Classical,Telepathy,Happy,Musician or singer,"Arts, culture, sports"
418,USA,NC,2022,12,Male,17,2,Car,15,.306,67,Hockey (Ice),0,0,0,25,Right foot,40,55,Ring finger,Summer,Yes,No,Music,7,5,Yes - broadband connection,10,12,1,20,4,24,1,0,10,Very little,High school,Heavy metal,Invisibility,Happy,Musician or singer,Religious
420,USA,NC,2016,11,Female,16,4,Car,15,.443,36,Walking/Hiking,0,500,500,24,Right foot,92,92,Same length,Spring,No,Yes,Mathematics and statistics,6,6,Yes - other,200,500,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Doctor or nurse,Health
421,USA,NC,2021,12,Female,18,1,Bus,30,.384,57,Swimming,497,1000,497,22,Same length,55,55,Same length,Spring,No,No,English,4,5,Yes - dial-up connection,70,80,0,50,50,4,7,18,4,Some,High school,Pop,Telepathy,Happy,Friend,Health
423,USA,NC,2021,11,Male,17,1,Car,25,.334,45,Football (American),1000,898,850,33.02,Same length,71.12,76.2,Ring finger,Fall,Yes,No,Science,6,2,Yes - broadband connection,15,50,0,1,2,10,3,0,0,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,"Wildlife, animals"
424,USA,NC,2018,10,Female,16,3,Bus,30,.33,35,Soccer,1000,1000,1000,25.4,Same length,85,70,Index finger,Summer,No,No,Science,6,4,Yes - broadband connection,25,40,5,10,5,12,10,16,10,Some,Graduate degree,Reggae,Super strength,Happy,Actor,International aid
427,USA,NC,2020,11,Male,15,2,Bus,6,.503,32,Basketball,600,400,700,29,Same length,91,88,Index finger,Winter,No,No,Science,7,4,Yes - broadband connection,110,210,3,1,3,14,0,0,4,Very little,Graduate degree,Classical,Invisibility,Happy,Teacher,Education/Youth development
429,USA,NC,2017,12,Female,17,1,Walk,10,.746,44,Other,900,950,700,14,Left foot,47,49,Ring finger,Fall,Yes,No,Science,7,5,Yes - broadband connection,100,100,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Fly,Happy,Doctor or nurse,International aid
431,USA,NC,2022,12,Female,17,2,Bus,10,.592,58,Tennis,1000,900,1000,20.23,Same length,55,55,Same length,Summer,No,No,Art,6,5,Yes - broadband connection,7,8,5,10,7,10,2,0,3,Very little,Undergraduate degree,Pop,Fly,Rich,Relative,International aid
432,USA,NC,2021,11,Female,16,2,Bus,15,.447,48,Skateboarding/Rollerblading,679,626,765,22,Same length,70,70,Same length,Fall,No,No,Science,7.5,6,Yes - broadband connection,20,25,1,5,2,12,3,0,2,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Other,Environment
434,USA,NC,2017,11,Male,16,2,Car,9,.813,54,Athletics,750,750,200,26,Right foot,75,87,Ring finger,Summer,Yes,No,Physical education,8,5,Yes - broadband connection,30,100,4,3,3,1,1,0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,International aid
441,USA,NC,2020,11,Female,17,2,Car,7,.485,39,Soccer,1000,1000,1000,22,Same length,66,68,Ring finger,Fall,No,No,Science,6,4,Yes - broadband connection,50,100,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Environment
443,USA,NC,2018,11,Female,16,2,Car,12,.362,37,Athletics,10000,10000,10000,15.5,Left foot,71.12,68.58,Index finger,Fall,Yes,No,Art,6,4,Yes - broadband connection,80,100,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Fly,Happy,Sports person,Health
450,USA,NC,2020,12,Female,17,2,Car,5,.596,48,Soccer,1000,1000,1000,24,Same length,80,70,Index finger,Fall,No,No,Mathematics and statistics,7,4,Yes - other,60,50,0,5,10,18,10,20,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid
456,USA,NC,2021,12,Female,17,2,Bus,60,.416,47,Soccer,1000,1000,1000,22,Same length,55,55,Ring finger,Summer,Yes,No,Other,7,7,Yes - broadband connection,100,112,0,4,24,2,6,48,8,Some,Some college,Rhythm and blues (R&B),Fly,Happy,Musician or singer,"Wildlife, animals"
460,USA,NC,2013,9,Male,14,2,Bus,30,2,26,Soccer,800,700,600,28,Right foot,100,110,Ring finger,Summer,No,No,Physical education,9,5,Yes - other,7,8,14,7,7,0,21,0,7,Very little,Some college,Rap/Hip hop,Freeze time,Rich,Relative,Other
465,USA,NC,2017,11,Female,15,2,Car,23,.305,32,Swimming,750,700,800,25,Right foot,80,85,Ring finger,Summer,No,Yes,English,7,4,Yes - broadband connection,3,8,12,5,1,50,10,0,10,Some,Graduate degree,Pop,Freeze time,Happy,Relative,"Wildlife, animals"
